S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
4087,SUN POLYTECHNIC COLLEGE,"Sun Nagar, Erachakulam Post, Kanyakumari District, Nagercoil, 629902, India",8.18,77.41,,Self Finance,Polytechnic College,Polytechnic College,,Kanniyakumari,KK,TN South,Tamil Nadu
4088,SUNDARAM ARULRHAI HOSPITAL,"145/5-B JEYARAJ ROAD,TUTICORIN DIST",8.81,78.14,drsarulrhaj.com/sah.html,Self Finance,Medical,Allied Health Sciences,B.Sc. Physician Assistant,Thoothukudi,TK,TN South,Tamil Nadu
4089,"SUNDARAM MEDICAL FOUNDATION ,","AA Block, 9C, 4th Ave, Anna Nagar, Shanthi Colony, Chennai, Tamil Nadu 600040",13.1,80.21,https://www.smfhospital.org/,Self Finance,Medical,Allied Health Sciences,B.Sc. Accident and Emergency Care Technology,Chennai,CH,TN North,Tamil Nadu
4090,SURABI SCHOOL OF NURSING,"Pappanam Patty (P.O), Dindigul - 624 622.",10.4,77.98,http://www.surabinursingcollege.org/,Self Finance,Medical,Allied Health Sciences,B.Sc. Medical Laboratory Technology,Dindigul,DI,TN West,Tamil Nadu
4091,SURABI SCHOOL OF NURSING,"Pappanam Patty (P.O), Dindigul - 624 622.",10.4,77.98,http://www.surabinursingcollege.org/,Self Finance,Medical,Allied Health Sciences,B.Sc. Physician Assistant,Dindigul,DI,TN West,Tamil Nadu
4092,SURABI SCHOOL OF NURSING,"Pappanam Patty (P.O), Dindigul - 624 622.",10.4,77.98,http://www.surabinursingcollege.org/,Self Finance,Medical,Allied Health Sciences,B.Sc. Operation Theatre and Anesthesia Technology,Dindigul,DI,TN West,Tamil Nadu
4093,SURABI SCHOOL OF NURSING,"No.75, Salem Main Road,Vengamedu,Karur - 639 006.",11,78.07,http://www.surabicollegeofnursing.in/,Self Finance,Medical,Allied Health Sciences,B.Sc. Physician Assistant,Dindigul,DI,TN West,Tamil Nadu
4094,SURABI SCHOOL OF NURSING,"No.75, Salem Main Road,Vengamedu,Karur - 639 006.",11,78.07,http://www.surabicollegeofnursing.in/,Self Finance,Medical,Allied Health Sciences,B.Sc. Operation Theatre and Anesthesia Technology,Dindigul,DI,TN West,Tamil Nadu
4095,SURABI SCHOOL OF NURSING,"No.75, Salem Main Road,Vengamedu,Karur - 639 006.",11,78.07,http://www.surabicollegeofnursing.in/,Self Finance,Medical,Allied Health Sciences,B.Sc. Medical Laboratory Technology,Dindigul,DI,TN West,Tamil Nadu
4096,SURAN COLLEGE OF NURSING,"Chatrapatti To Srivilliputhur Rd, Vaithyalingapuram, Tamil Nadu 626125, India",9.48,77.61,,Self Finance,Medical,Allied Health Sciences,B.Sc. Nursing,Virudhunagar,VR,TN South,Tamil Nadu
